category,question_en,answer_en,question_fr,answer_fr
data,How do I download snow survey data?,"<p>1. Go to the Download Data tab </p>
<p>2. Select a site by typing its name in the 'select site' box, or scrolling through the sites in the drop-down list </p>
<p>3. Select the date range you want by inputting a start year and end year in the 'for years from' boxes </p>
<p>4. Click the 'Download Data' button to download the data as a CSV file. This file is automatically downloaded to your computer. For Apple users, you may have to enable downloads for this website. </p>",Comment puis-je télécharger les données des relevés de neige ?,"<p>1. Allez à l’onglet Télécharger des Données</p>
<p>2. Sélectionnez un site en entrant un nom dans la boîte Sélectionner un site, ou faites défiler la liste déroulante pour le trouver</p>
<p>3. Choisissez la période souhaitée en indiquant une année de début et une année de fin dans les champs « Pour les années de »</p>
<p>4. Cliquez sur le bouton  « Télécharger les données  » pour télécharger les données sous forme de fichier CSV. Ce fichier est automatiquement télécharger sur votre ordinateur. Pour les utilisateaurs Apple, vous devrez peut-être activer les téléchargements pour ce site Web. </p>"
data,Why can't I download the full date range I selected?,The available year range automatically updates based on the selected site. This reflects the first and last years with recorded data for that site. Note that this does not guarantee data exist for every year within that range.,Pourquoi ne puis-je pas télécharger toute la plage d’années que j’ai sélectionnée ?,"La plage d'années disponible s’ajuste automatiquement selon les données du site sélectionné. Elle indique les premières et dernières années pour lesquelles des données sont disponibles pour le site.
Veuillez noter que cela ne garantit pas la présence de données pour chaque année comprise dans cette plage."
data,What do the flags in the downloaded CSV file mean and how should I interpret them?,"<p>Data flags provide information about the quality and reliability of measurements. Please refer to the <b>Data Flag Dictionary</b> in the Download tab, which opens a table that lists: </p>
<ul>
<li><b>Flag</b> - An alphanumeric field used to identify a particular data flag..</li>
<li><b>Description </b>- Meaning or description of the data flag..</li>
<li><b>Action</b> - Recommended user action depending on the data flag description. Data flags that are labelled “remove” should be removed for calculating mean values. For data flags that are labelled “consider remove,” the decision to remove the value is left to the data user. </li>
</ul>
<p>Note that any data downloaded in this app is raw data, and includes all flags exactly as recorded. </p>",Que signifient les différents indicateurs dans le fichier CSV téléchargé et comment dois-je le interpréter?,"<p>Les indicateurs de données fournissent des informations sur la qualité et la fiabilité des mesures. Veuillez consulter le <b>Dictionnaire des indicateurs de données</b> dans l’onglet Téléchargement, qui ouvre un tableau présentant : </p>
<ul>
<li><b>Indicateur</b> - un champ alphanumérique utilisé pour identifier un indicateur de données particulier..</li>
<li><b>Description</b> - signification ou description de l’indicateur de données.</li>
<li><b>Mesure à prendre</b> - action recommandée a l'utilisateur selon la description de l’indicateur. Les indicateurs marqués « retirer » doivent être retirés lors du calcul de valeurs moyennes. Pour les indicateurs marqués « considérer retirer », la décision de retirer la valeur est laissée à l’utilisateur des données. </li>
</ul>
<p>Notez que toutes les données téléchargées dans cet Explorateur sont des données non corrigées et incluent tous les indicateurs exactement tels qu’enregistrés.</p>"
data,"Where can I find additional information to help interpret the columns, flags, and instruments in the downloaded CSV?","You can view column definitions, data flags, and instrument details in the Quick Reference Materials section of the Download Data tab. These metadata files are also downloadable as CSV files from the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a>","Où puis-je trouver des informations supplémentaires pour m’aider à interpréter les colonnes, les indicateurs et les instruments dans le fichier CSV?","Les définitions des colonnes, les indicateurs et les détails sur les instruments sont disponibles dans la section Matériels de référence rapides de l’onglet Télécharger les données. Ces fichiers de métadonnées sont également téléchargeables sous forme de CSV dans le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a>."
data,"What site information is available, and where can I find it?","<p>Information on snow survey sites can be found in the <b>Metadata</b> tab.</p>
<p> The Metadata tab displays a map of snow survey sites. Click on a site to view details such as the site's record length, date range, variables measured, coordinates and elevation, and other metadata fields. Use the 'Filter by' options to display all sites, sites surveyed in a specific year, or sites surveyed within a selected year range. </p>
<p> Some site metadata is also available in the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). Site details are presented in tables within the report and can also be downloaded as a separate file (sites.csv) from the report for offline use.</p>
",Quelle information sur les sites est disponsible et/ou puis-je l’obtenir?,"<p>Vous pouvez trouver de l’information sur les sites de relevés nivométriques dans l’onglet <b>Métadonnées</b>.</p>

<p>L’onglet Métadonnées affiche une carte des sites de relevés nivométriques. Cliquez sur un site pour voir des détails comme la longeur d'enregistrement, la plage de dates, les variables mesurées, les coordonnées et l’élévation, ainsi que d’autres champs de métadonnées. Utilisez les options « Filtrer par » pour afficher tous les sites, les sites relevés pour une année précise ou les sites relevés dans une plage d’années sélectionnée.</p>

<p>Certaines de ces métadonnées sont aussi disponibles dans le <a href=""https://doi.org/10.46887/2025-005"" target=""_blank"">Open Data Report (2025)</a>. Les détails sur les sites y sont présentés sous forme de tableaux et peuvent aussi être téléchargés dans un fichier séparé (<i>sites.csv</i>) pour une utilisation hors ligne.</p>


Les métadonnées des sites — la latitude, la longitude, la région, le bassin versant, la référence de bassin (CR), la région écologique et l’état d’activité du site — sont disponibles dans le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a> Ces renseignements sont présentés dans des tableaux du rapport et peuvent également être téléchargés sous forme de fichier distinct (sites.csv) à partir du rapport pour une consultation hors ligne."
data,Where can I download mean daily data?,"<p>Mean daily snow depth and snow water equivalent (SWE) data for each site and measurement date are available as a downloadable file from the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025), </a> for years between 1965-2024.</p>
</p> This Explorer provides individual survey point values available for download. There are 10 points for each survey; Mean daily data can then be averaged using these 10 points. </p>",Où puis-je télécharger les données quotidiennes moyennes,"<p>Les données quotidiennes moyennes de profondeur de neige et d’équivalent en eau de neige (EEN) pour chaque site et date de mesure sont disponibles dans le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025) </a>, pour les années 1965 à 2024.</p>
<p>Cet Explorateur fournit les valeurs individuelles des points de relevé, qui peuvent être téléchargées. Chaque relevé comprend 10 points de mesure; les données moyennes quotidiennes peuvent ensuite être calculées a partir de ces 10 points. </p>"
data,Where can I read the full data disclaimer and terms of use,"<p>See the Data Disclaimer and Terms of Use section in the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a> </p>
<p> A stand-alone PDF of the report is available <a href=""NWT Open Report 2025-005.pdf"" target=""_blank"">here</a> for quick access.",Où puis-je lire l’avis de non-responsabilité et les conditions d’utilisation complets?,"<p>Veuillez consulter les sections Avis de non-responsabilité et Conditions d’utilisation dans le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a> </p>
<p> Un PDF autonome du rapport est également disponible <a href=""NWT Open Report 2025-005.pdf"" target=""_blank"">ici</a> pour un accès rapide. </p>"
methods_sites,How are snow surveys conducted?,"Snow depth and snow water equivalent (SWE) are measured manually at ten points spaced about 10 m apart along a transect at each site. This transect is also referred to as the snow survey. Snow samples are collected using snow tubes, then weighed using a calibrated scale. Snow depth is measured using a snow tube or ruler. More details can be found in the ""Methods"" section of the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a>",Comment les relevés de neige sont-ils effectués?,"La profondeur de neige et l'quivalent en eau de la neige (EEN) sont mesurées manuellement à dix points espacés d'environ 10 m le long d'un transect à chaque site. Ce transect est aussi appelé le relevé nivométrique. Des prélèvements de neige sont effectués à l’aide de tubes à neige, puis pesés à l'aide d'une balance calibrée. La profondeur de la neige est mesurée à l'aide d'un tube à neige ou d'une règle graduée. Pour plus de détails, consultex la section « Méthodes » du <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a>"
methods_sites,How often are snow surveys conducted?,"Snow surveys are typically conducted each year from mid-to-late March, before spring snowmelt begins. For sites where snow accumulates later, such as in the Beaufort-Delta region, surveys are performed in April. ",À quelle fréquence les relevés de neige sont-ils effectués?,"Les relevés de neige sont généralement effectués chaque année, entre la mi et la fin mars, avant le début de la fonte printanière. Pour les sites où l’accumulation de neige se fait plus tard, comme dans la région du delta du Beaufort, les relevés sont réalisés en avril."
methods_sites,How were snow survey sites selected?,"Most snow survey sites were established in upland areas near lakes, including forested and tundra locations, away from human activity. Some transects were relocated years later to avoid snow drift measurement errors or wildfire damage. Transects typically follow a straight line or 'u-shaped’ pattern.",Comment les sites de relevés de neige ont-ils été sélectionnés?,"La plupart des sites des relevés nivométriques ont été établis dans des zones élevées (terrestres) près de lacs, incluant des milieux forestiers et de toundra, éloignés de l’activité humaine. Certains transects ont été déplacés quelques années plus tard pour éviter les erreurs de mesure causées par les congères ou les dommages liés aux feux de forêt. Les transects suivent généralement une ligne droite ou une forme de «U»."
